1354;2000375;Retford Hospital Primary Care Ctr;DN22 7XF;England
6462;2001873;Enfield Retail Park;EN1 1TH;England
277;2000662;Telford Wellington;TF1 1LU;England
5687;2001615;Sheffield Asline;S2 4UJ;England
465;2000143;Flint Church Street;CH6 5AE ;Wales
1101;2000335;Cheadle High Street Staffordshire;ST10 1AR;England
5194;2000361;Lincoln Birchwood Health Centre;LN6 0QQ;England
725;2000776;London Fulham North End Road;SW6 1NF;England
1074;2000935;London Hackney Mare Street;E8 1HR;England
5804;2001667;Long Sutton Market Place;PE12 9JG;England
5636;2001593;LONDON (5636);N16 9PX;England
154;2000622;Sheffield Broomhill;S10 3BB;England
5093;2000257;Stoke On Trent Longton;ST3 4DF;England
14;2000359;Newark Stodman Street;NG24 1AT;England
1519;2001112;London Hampstead;NW3 1QE;England
6502;2001896;Shrewsbury Meole Brace Retail Park;SY3 9NB;England
53;2000589;Lincoln St Marks Centre;LN5 7EY;England
6309;2001838;Sheffield Waitrose;S11 8HY;England
951;2000885;London Moorgate High Street;EC2M 6XQ;England
179;2000411;Downham Market Wales Court;PE38 9JZ;England
5896;2001706;Abbots Langley;WD5 0AE;England
2158;2001139;Knightsbridge Brompton Road;SW3 1QP;England
5686;2001614;Sheffield Abbeydale Road;S7 2BA;England
113;2000610;Sutton In Ashfield The Idlewells;NG17 1BN;England
34;2000582;Thorne Finkle Street;DN8 5DE;England
1310;2001028;Scunthorpe North Lincolnshire SP;DN15 8TG;England
127;2000615;Ripley High Street;DE5 3AA;England
5359;2001455;Shrewsbury Mytton;SY3 8UG;England
6596;2000100;Stafford Queens Retail Park;ST17 4SU;England
5641;2000295;Llanrwst Denbigh Street;LL26 0LL;Wales
116;2000014;Scunthorpe Ashby High Street;DN16 2SQ;England
1338;2001032;Ripley Church Farm Road;DE5 3TF;England
57;2000590;Sheffield Hillsborough Centre;S6 4HL;England
56;2000007;Sheffield High Street;S1 1QF;England
1041;2000926;London Mill Hill;NW7 3LH;England
164;2000625;Leek Derby Street;ST13 6HT;England
5909;2001714;Doncaster Askern Primary Care Ctr;DN6 0HZ;England
169;2000628;Uttoxeter High Street;ST14 7HT;England
2206;2001267;Sheffield Upwell Street;S4 8AN;England
392;2000693;Bridgnorth High Street;WV16 4DB;England
6527;2001908;Watford Waterfield Retail Park;WD17 2EU;England
5062;2001327;London 8-10 Camden High Street;NW1 0JH;England
6607;2001940;Kings Lynn Hardwick Retail Park;PE30 4NA;England
67;2000593;Stoke On Trent Longton Exchange;ST3 2HX;England
42;2000585;Oundle Market Place;PE8 4BQ;England
5270;2001403;Worksop Larwood Health Centre;S81 0HH;England
5809;2001670;Doncaster Harworth Hc Scrooby Road;DN11 8JT;England
1472;2001086;Stanmore Church Street;HA7 4AL;England
19;2000603;Belper King Street;DE56 1PS;England
783;2000032;London Belsize Park;NW3 4QG;England
6445;2001865;Sheffield Heeley Retail Park;S8 0RG;England
5434;2000275;Wisbech Old Market;PE13 1NB ;England
793;2000808;London Paternoster Square;EC4M 7DX;England
5688;2001616;Sheffield Manor Park Centre;S2 1WE;England
747;2000785;London Chiswick High Road;W4 5TA;England
32;2000581;Retford Carolgate;DN22 6DY;England
5917;2001721;Doncaster Askern Church Street;DN6 0PH;England
367;2000686;Whitchurch Watergate Street;SY13 1DW;England
4659;2002094;Londonderry Great James Street;BT48 7DF;Northern Ireland
4648;2002085;Newtownabbey Hillview Avenue;BT36 6AE;Northern Ireland
1584;2002046;Larne Main Street;BT40 1SS;Northern Ireland
4626;2002067;Belfast Saintfield Road;BT8 7HN;Northern Ireland
1588;2002048;Newtownards Regent Street;BT23 4LH;Northern Ireland
4608;2002056;Carrickfergus Market Place;BT38 7AW;Northern Ireland
1595;2002049;Belfast Connswater Shopping Centre;BT5 5LP;Northern Ireland
1557;2002038;Newtownabbey Abbeycentre;BT37 9UH;Northern Ireland
4632;2002072;Lisburn Market Lane;BT28 1YG;Northern Ireland
2156;2002022;Cardiff Broadcasting House;CF10 1FS;Wales
4635;2002075;Ballyclare North End;BT39 9BN;Northern Ireland
597;2002025;Lurgan Market Street;BT66 6AH;Northern Ireland
1559;2002039;Dungannon Oaks Centre;BT71 4NA;Northern Ireland
1992;2002052;Ballymena Health & Care Unit;BT43 6HB;Northern Ireland
4630;2002070;Holywood 46 High Street;BT18 9AE;Northern Ireland
4620;2002064;Newry John Mitchel Place;BT34 2BP;Northern Ireland
4650;2002087;Maghera Main Street;BT46 5AA;Northern Ireland
643;2002029;Bangor Bloomfield Shopping Centre;BT19 7HB;Northern Ireland
4649;2002086;Portadown Thomas Street;BT62 3AL;Northern Ireland
1550;2002037;Craigavon Rushmere Shopping Centre;BT64 1AA;Northern Ireland
4602;2002054;Ballymena Queen Street;BT42 2BB;Northern Ireland
4627;2002068;Belfast Upper Newtownards Road;BT4 3LH;Northern Ireland
4658;2002093;Belfast Sandy Row;BT12 5EY;Northern Ireland
4639;2002078;Belfast Oldpark Road;BT14 6QU;Northern Ireland
4660;2002095;Belfast Newtownards Road;BT4 1HH;Northern Ireland
4622;2002065;Belfast Cavehill;BT15 5BU;Northern Ireland
4644;2002082;Lisburn Knockmore;BT28 2EA;Northern Ireland
4637;2002077;Ballykelly Shopping Well Centre;BT49 9HS;Northern Ireland
4655;2002090;Belfast Beersbridge Road;BT5 5DY;Northern Ireland
6573;2002098;Lisburn Sprucefield Shopping Centre;BT27 5UJ;Northern Ireland
4634;2002074;Newtownards Stonegate;BT23 8ZE;Northern Ireland
4647;2002084;Moira Main Street;BT67 0LQ;Northern Ireland
1598;2002051;Ballyclare The Square;BT39 9BB;Northern Ireland
918;2002036;Bangor Rathmoor Shopping Centre;BT19 1DL;Northern Ireland
1585;2002047;Newry Buttercrane Shopping Centre;BT35 8HJ;Northern Ireland
625;2002027;Newtownards Ards Shopping Centre;BT23 4EU;Northern Ireland
4624;2002066;Belfast 77 Cregagh Road;BT6 8PY;Northern Ireland
4611;2002058;Cullybackey Main Street;BT42 1BW;Northern Ireland
4656;2002091;Lurgan Moores Lane;BT66 8AA;Northern Ireland
4657;2002092;Belfast Ravenhill;BT6 8DR;Northern Ireland
4636;2002076;Bangor Ballyholme;BT20 5NF;Northern Ireland
4641;2002079;Cookstown Burn;BT80 8DR;Northern Ireland
1579;2002044;Portadown West Street;BT62 3PL;Northern Ireland
4605;2002055;Belfast 72 Holywood Road;BT4 1NT;Northern Ireland
701;2002035;Dundonald Ballybean Square;BT16 2QP;Northern Ireland
6438;2002097;Belfast Boucher Road;BT12 6HU;Northern Ireland
574;2002024;Belfast Castle Court;BT1 1DD;Northern Ireland
4617;2002062;Lisburn Sloan street;BT27 5AG;Northern Ireland
4642;2002080;Cookstown 47 James Street;BT80 8AE;Northern Ireland
601;2002026;Belfast Park Centre;BT12 6HN;Northern Ireland
1575;2002042;Cookstown 5-7 James Street;BT80 8AA;Northern Ireland
4614;2002061;Portstewart The Promenade;BT55 7AG;Northern Ireland
653;2002030;Omagh High Street;BT78 1BA;Northern Ireland
4601;2002053;Antrim High St;BT41 4AN;Northern Ireland
4653;2002089;Strathfoyle Village Centre;BT47 6TJ;Northern Ireland
291;2001966;Port Talbot Aberfan Centre;SA13 1PB;Wales
364;2001971;Welshpool Broad Street;SY21 7SD;Wales
464;2001974;Cardigan Prendre;SA43 1JL;Wales
482;2001979;Ruthin Stryd Y Castell;LL15 1DP;Wales
487;2001980;Llangefni High Street;LL77 7LT;Wales
332;2001969;Abergavenny Cross Street;NP7 5EH;Wales
922;2001982;Bethesda Medical Centre;LL57 3NE;Wales
211;2001964;Newport Caerleon Road;NP19 7FW;Wales
476;2001977;Shotton Chester Road;CH5 1BX;Wales
1329;2001984;Bargoed Bryntirion Health Centre;CF81 8SA;Wales
1668;2001987;Bangor 277-279 High Street;LL57 1PD;Wales
478;2001978;Newcastle Emlyn;SA38 9AP;Wales
5820;2001998;Cardiff St Mellons;CF3 0SH;Wales
2013;2001988;Newport Chepstow Road;NP19 8EG;Wales
2072;2001993;Swansea Uplands Crescent;SA2 0NP;Wales
2037;2001990;Wrexham Eagles Meadow;LL13 8DG;Wales
2058;2001992;Monmouth Monnow Street;NP25 3EN;Wales
5774;2001997;Holywell High Street;CH8 7TF;Wales
6419;2002000;Chester Broughton Shopping Park;CH4 0DP;Wales
320;2001968;Ebbw Vale Market Street;NP23 6HL;Wales
434;2001973;Denbigh High Street;LL16 3RY;Wales
6572;2002006;Llanelli Parc Trostre Retail Park;SA14 9UY;Wales
6575;2002007;Swansea Morfa Retail Park;SA1 7BP;Wales
5640;2001995;Colwyn Bay Rhos on Sea;LL28 4PP;Wales
6547;2002005;Llanstrisant Talbot Green Retail;CF72 8LW;Wales
294;2001967;Swansea Morriston;SA6 8BH;Wales
474;2001976;Ammanford Quay Street;SA18 3DB;Wales
1652;2001986;Whitland St John Street;SA34 0AN;Wales
2054;2001991;Builth Wells High Street;LD2 3DN;Wales
6434;2002001;Wrexham Plas Coch Road;LL11 2BA;Wales
6476;2002002;Newport Retail Park;NP19 4QQ;Wales
428;2001972;Swansea Mumbles;SA3 4DN;Wales
1385;2001985;Cardiff Canton Sanatorium Road;CF11 8DG;Wales
5644;2001996;Plas Menai Medical Centre;LL33 0NY;Wales
340;2001970;Porthcawl John Street;CF36 3BD;Wales
1285;2001983;Llantwit Major Boverton Road;CF61 1XZ;Wales
2078;2001994;Cardiff Capitol Shopping Centre;CF10 2HQ;Wales
5959;2001999;Rhyl The Square;LL18 5AU;Wales
6612;2002009;Llandudno Retail Park;LL30 1PX;Wales
6528;2002003;Swansea Fforest Fach Retail Park;SA5 4BB;Wales
6542;2002004;Cardiff Ty Glas Retail Park;CF14 5DX;Wales
137;2002133;Hunstanton High Street;PE36 5AB;England
2159;2002132;Sheffield Fox Valley Way;S36 2AB;England
5933;2002134;Selby Market Cross Shopping Centre;YO8 4JS;England
1638;2002135;March Riverside Healthcentre;PE15 8BG;England
